epochs	V3	ResNet	VGG19	Xception	ScratchV3
0	0.08912783	0.084216	0.28525815	0.08634511	0.05208333
1	0.18505435	0.2872962	0.3904212	0.1247962	0.07972301
2	0.26338315	0.36603261	0.44966033	0.17262228	0.10138494
3	0.30754076	0.42425272	0.47900815	0.2107337	0.12079782
4	0.34191576	0.45754076	0.47105978	0.23702446	0.12186316
5	0.3685462	0.47357337	0.46786685	0.26508152	0.14151278
6	0.3921875	0.49021739	0.47900815	0.28960598	0.15275805
7	0.41025815	0.52092391	0.47105978	0.30998641	0.16560133
8	0.42649457	0.55985054	0.47900815	0.32894022	0.1665483
9	0.43831522	0.56834239	0.47900815	0.34680707	0.18495502
10	0.44673913	0.51908967	0.47900815	0.3627038	0.19460227
11	0.4544837	0.54782609	0.47900815	0.378125	0.21170691
12	0.46379076	0.51908967	0.47900815	0.39164402	0.21543561
13	0.47248641	0.54782609	0.47900815	0.40394022	0.21863163
14	0.4810462	0.51908967	0.47900815	0.41480978	0.21815814
15	0.48607337	0.54782609	0.47900815	0.42567935	0.22478693
16	0.490625	0.54782609	0.47900815	0.43383152	0.22514205
17	0.49456522	0.54782609	0.47900815	0.4419837	0.24158841
18	0.49585598	0.54782609	0.47900815	0.44918478	0.24174565
19	0.4986413	0.54782609	0.47900815	0.45502717	0.24595411
20	0.49816576	0.54782609	0.47900815	0.46032609	0.24595411
21	0.50142663	0.54782609	0.47900815	0.46616848	0.24595411
22	0.50427989	0.54782609	0.47900815	0.47038043	0.24595411
23	0.50434783	0.54782609	0.47900815	0.47588315	0.24595411
24	0.50584239	0.54782609	0.47900815	0.4798913	0.24595411
25	0.51995924	0.54782609	0.47900815	0.48430707	0.24595411
26	0.51692935	0.54782609	0.47900815	0.48716033	0.24595411
27	0.51966848	0.54782609	0.47900815	0.48865489	0.24595411
28	0.51963043	0.54782609	0.47900815	0.49021739	0.24595411
29	0.51966848	0.54782609	0.47900815	0.49035326	0.24595411
30	0.51963043	0.54782609	0.47900815	0.49130435	0.24595411
31	0.51692935	0.54782609	0.47900815	0.49171196	0.24595411
32	0.51966848	0.54782609	0.47900815	0.504212	0.24595411
33	0.51963043	0.54782609	0.47900815	0.504684854	0.24595411
34	0.51966848	0.54782609	0.47900815	0.50321548	0.24595411
35	0.51963043	0.54782609	0.47900815	0.508741546	0.24595411
36	0.51966848	0.54782609	0.47900815	0.50941515	0.24595411
37	0.51963043	0.54782609	0.47900815	0.510001255	0.24595411
38	0.51963043	0.54782609	0.47900815	0.5104444444	0.24595411
39	0.51963043	0.54782609	0.47900815	0.5104444444	0.24595411
40	0.51963043	0.54782609	0.47900815	0.5104444444	0.24595411
