epochs	ResNet	V3	VGG19	Xception	RandomV3
0	0.85914574	0.86663306	0.90926447	0.87193529	0.84818548
1	0.92438706	0.91597782	0.92303055	0.89549839	0.85226815
2	0.92910973	0.9249496	0.92539188	0.90946543	0.87404234
3	0.93132034	0.92580645	0.9269996	0.91634847	0.87227823
4	0.93111937	0.92525202	0.92694936	0.91976487	0.87157258
5	0.93036576	0.92459677	0.92780346	0.92333199	0.87101815
6	0.9295619	0.92409274	0.92835611	0.92579381	0.87489919
7	0.92865756	0.92368952	0.92368368	0.92619574	0.87585685
8	0.92982618	0.92283266	0.925403537	0.92684887	0.87845685
9	0.93100131	0.922379	0.925403537	0.92740153	0.87585685
10	0.93178201	0.92241311	0.925403537	0.92860732	0.87845685
11	0.93178201	0.92241311	0.925403537	0.92840635	0.87845685
12	0.93178201	0.92241311	0.925403537	0.92830587	0.87845685
13	0.93178201	0.92241311	0.925403537	0.92865756	0.87845685
14	0.93178201	0.92241311	0.925403537	0.92865756	0.87845685
15	0.93178201	0.92241311	0.925403537	0.92865756	0.87845685
16	0.93178201	0.92241311	0.925403537	0.92865756	0.87845685
17	0.93178201	0.92241311	0.925403537	0.92865756	0.87845685
18	0.93178201	0.92241311	0.925403537	0.92865756	0.87845685
19	0.93178201	0.92241311	0.925403537	0.92865756	0.87845685
20	0.93178201	0.92241311	0.925403537	0.92865756	0.87845685
21	0.93178201	0.92241311	0.925403537	0.92865756	0.87845685
22	0.93178201	0.92241311	0.925403537	0.92865756	0.87845685
23	0.93178201	0.92241311	0.925403537	0.92865756	0.87845685
24	0.93178201	0.92241311	0.925403537	0.92865756	0.87845685
25	0.93178201	0.92241311	0.925403537	0.92865756	0.87845685
