epochs	ResNet	V3	VGG19	Xception
0	0.85914574	0.86663306	0.90926447	0.87193529
1	0.85932476	0.87646169	0.91283159	0.87711013
2	0.86505225	0.87837702	0.91443931	0.87510048
3	0.86465032	0.88240927	0.91433883	0.87625603
4	0.86826768	0.88492944	0.91544413	0.87761254
5	0.86841841	0.88402218	0.91728859	0.87685892
6	0.86806672	0.88427419	0.91944413	0.87761254
7	0.86851251	0.88427419	0.92154851	0.87685892
8	0.86851251	0.88466532	0.92411542	0.87685892
9	0.86851251	0.88460927	0.92448412	0.87685892
10	0.86851251	0.88466532	0.92454124	0.87685892
11	0.86851251	0.88460927	0.92454124	0.87685892
12	0.86851251	0.88460927	0.92454124	0.87685892
13	0.86851251	0.88460927	0.92454124	0.87685892
14	0.86851251	0.88460927	0.92454124	0.87685892
15	0.86851251	0.88460927	0.92454124	0.87685892
16	0.86851251	0.88460927	0.92454124	0.87685892
17	0.86851251	0.88460927	0.92454124	0.87685892
18	0.86851251	0.88460927	0.92454124	0.87685892
19	0.86851251	0.88460927	0.92454124	0.87685892
20	0.86851251	0.88460927	0.92454124	0.87685892
21	0.86851251	0.88460927	0.92454124	0.87685892
22	0.86851251	0.88460927	0.92454124	0.87685892
23	0.86851251	0.88460927	0.92454124	0.87685892
24	0.86851251	0.88460927	0.92454124	0.87685892
25	0.86851251	0.88460927	0.92454124	0.87685892
