epochs	ResNet	V3	VGG19	Xception	ScratchV3
0	0.70997024	0.70941521	0.751845241	0.73953373	0.6841154
1	0.88824405	0.87549761	0.88645833	0.80458541	0.71865048
2	0.90178571	0.88903264	0.89945437	0.81076389	0.77333798
3	0.90699405	0.8959992	0.89826389	0.85372024	0.76746616
4	0.90997024	0.90012938	0.89885913	0.87266865	0.80130374
5	0.9109623	0.90341361	0.9001585	0.87931548	0.81653065
6	0.91145833	0.90495621	0.90124545	0.88482143	0.82762739
7	0.91145833	0.90659833	0.902741515	0.88814484	0.83509156
8	0.91145833	0.90719546	0.902741515	0.8906746	0.8265824
9	0.91145833	0.90819068	0.902741515	0.89285714	0.83663416
10	0.91145833	0.90973328	0.902741515	0.89508929	0.83832604
11	0.91145833	0.90993232	0.902741515	0.89791667	0.83882365
12	0.91145833	0.91028065	0.902741515	0.89955357	0.83494228
13	0.91145833	0.91077826	0.902741515	0.90109127	0.83494228
14	0.91145833	0.91087779	0.902741515	0.90243056	0.83494228
15	0.91145833	0.91122611	0.902741515	0.9031746	0.83494228
16	0.91145833	0.91122611	0.902741515	0.90386905	0.83494228
17	0.91145833	0.91122611	0.902741515	0.90352183	0.83494228
18	0.91145833	0.91122611	0.902741515	0.90431548	0.83494228
19	0.91145833	0.91122611	0.902741515	0.90530754	0.83494228
20	0.91145833	0.91122611	0.902741515	0.90610119	0.83494228
21	0.91145833	0.91122611	0.902741515	0.90669643	0.83494228
22	0.91145833	0.91122611	0.902741515	0.90669643	0.83494228
23	0.91145833	0.91122611	0.902741515	0.90669643	0.83494228
24	0.91145833	0.91122611	0.902741515	0.90669643	0.83494228
25	0.91145833	0.91122611	0.902741515	0.90669643	0.83494228
