epochs	RijksNet_softmax	RijksNet_full_tuning	ImageNet_softmax	ImageNet_full_tuning
0	0.29895833	0.29895833	0.2241472	0.2472
1	0.30416667	0.514851425	0.24313176	0.37222222
2	0.31701389	0.54548611	0.24628415	0.46041667
3	0.32847222	0.58125	0.2521257	0.51423611
4	0.32881944	0.63472222	0.2521257	0.55381944
5	0.329708333	0.64722222	0.2521257	0.57673611
6	0.329708333	0.68194444	0.2521257	0.58541667
7	0.329708333	0.69409722	0.2521257	0.58854167
8	0.329708333	0.69722222	0.2521257	0.59861111
9	0.329708333	0.69930556	0.2521257	0.60381944
10	0.329708333	0.69444444	0.2521257	0.61388889
11	0.329708333	0.69791667	0.2521257	0.61006944
12	0.329708333	0.69791667	0.2521257	0.61388889
13	0.329708333	0.69791667	0.2521257	0.61180556
14	0.329708333	0.69791667	0.2521257	0.61493056
15	0.329708333	0.69791667	0.2521257	0.62527778
16	0.329708333	0.69791667	0.2521257	0.62458333
17	0.329708333	0.69791667	0.2521257	0.62388889  
18	0.329708333	0.69791667	0.2521257	0.62558333
19	0.329708333	0.69791667	0.2521257	0.62388889
20	0.329708333	0.69791667	0.2521257	0.62558333
