epochs	ResNet	V3	VGG19	Xception
0	0.084216	0.0767663	0.3012458	0.0892663
1	0.0953804	0.06752717	0.31236413	0.09857337
2	0.0898777	0.06956522	0.34089674	0.10536685
3	0.0887228	0.06983696	0.35584239	0.1078125
4	0.0912364	0.07445652	0.36195652	0.10584239
5	0.0894701	0.07486413	0.36623641	0.1091712
6	0.0835597	0.07486413	0.36691576	0.10584239
7	0.0894701	0.07486413	0.37105978	0.1091712
8	0.0835597	0.07486413	0.37105978	0.10584239
9	0.0894701	0.07486413	0.37105978	0.1091712
10	0.0835597	0.07486413	0.37105978	0.10584239
11	0.0894701	0.07486413	0.37105978	0.1091712
12	0.0835597	0.07486413	0.37105978	0.10584239
13	0.0894701	0.07486413	0.37105978	0.1091712
14	0.0835597	0.07486413	0.37105978	0.1091712
15	0.0894701	0.07486413	0.37105978	0.1091712
16	0.0835597	0.07486413	0.37105978	0.1091712
17	0.0894701	0.07486413	0.37105978	0.1091712
18	0.0835597	0.07486413	0.37105978	0.1091712
19	0.0894701	0.07486413	0.37105978	0.1091712
20	0.0835597	0.07486413	0.37105978	0.1091712
21	0.0894701	0.07486413	0.37105978	0.1091712
22	0.0835597	0.07486413	0.37105978	0.1091712
23	0.0894701	0.07486413	0.37105978	0.1091712
24	0.0835597	0.07486413	0.37105978	0.1091712
25	0.0894701	0.07486413	0.37105978	0.1091712
26	0.0835597	0.07486413	0.37105978	0.1091712
27	0.0894701	0.07486413	0.37105978	0.1091712
28	0.0835597	0.07486413	0.37105978	0.1091712
29	0.0894701	0.07486413	0.37105978	0.1091712
30	0.0835597	0.07486413	0.37105978	0.1091712
31	0.0835597	0.07486413	0.37105978	0.1091712
32	0.0835597	0.07486413	0.37105978	0.1091712
33	0.0835597	0.07486413	0.37105978	0.1091712
34	0.0835597	0.07486413	0.37105978	0.1091712
35	0.0835597	0.07486413	0.37105978	0.1091712
36	0.0835597	0.07486413	0.37105978	0.1091712
37	0.0835597	0.07486413	0.37105978	0.1091712
38	0.0835597	0.07486413	0.37105978	0.1091712
39	0.0835597	0.07486413	0.37105978	0.1091712
40	0.0835597	0.07486413	0.37105978	0.1091712
