epochs	ResNet	V3	VGG19	Xception
0	0.70697024	0.70143125	0.75084881	0.7312577
1	0.70997024	0.70941521	0.751845241	0.73953373
2	0.71121032	0.71934713	0.7656746	0.73804563
3	0.71448413	0.71954618	0.78606151	0.7398356
4	0.71541861	0.72964769	0.76622024	0.73995413
5	0.71448413	0.730121454	0.76329365	0.7525415
6	0.71541861	0.730121454	0.769415216	0.7525415
7	0.71448413	0.730121454	0.77015415	0.7525415
8	0.71541861	0.730121454	0.77015415	0.7525415
9	0.71541861	0.730121454	0.77015415	0.7525415
10	0.71941861	0.73121548	0.77015415	0.7525415
11	0.71941861	0.73121548	0.77015415	0.7525415
12	0.71941861	0.73625218	0.77015415	0.7525415
13	0.71941861	0.73625218	0.77015415	0.7525415
14	0.71941861	0.73625218	0.77015415	0.7525415
15	0.71941861	0.73625218	0.77015415	0.7525415
16	0.71941861	0.73625218	0.77015415	0.7525415
17	0.71941861	0.73625218	0.77015415	0.7525415
18	0.71941861	0.73625218	0.77015415	0.7525415
19	0.71941861	0.73625218	0.77015415	0.7525415
20	0.71941861	0.73625218	0.77015415	0.7525415
21	0.71941861	0.73625218	0.77015415	0.7525415
22	0.71941861	0.73625218	0.77015415	0.7525415
23	0.71941861	0.73625218	0.77015415	0.7525415
24	0.71941861	0.73625218	0.77015415	0.7525415
25	0.71941861	0.73625218	0.77015415	0.7525415
