epochs	ImageNet_softmax	RijksNet_softmax	ImageNet_full_tuning	RijksNet_full_tuning
0	0.37844697	0.60148141	0.37844697	0.60148141
1	0.41548584	0.61505682	0.67660985	0.7405303
2	0.41632581	0.63541667	0.70857008	0.7594697
3	0.42158145	0.64796402	0.71993371	0.77059659
4	0.43744318	0.64109848	0.72537879	0.78245541
5	0.41451251	0.64441288	0.73461174	0.78245541
6	0.41745161	0.64441288	0.73792614	0.78245541
7	0.41745161	0.64441288	0.73958333	0.78245541
8	0.41745161	0.64441288	0.7405303	0.78245541
9	0.41745161	0.64441288	0.74195076	0.78245541
10	0.41745161	0.64441288	0.7515415	0.78245541
11	0.41745161	0.64441288	0.75515488	0.78245541
12	0.41745161	0.64441288	0.758841314	0.78245541
13	0.41745161	0.64441288	0.760110115	0.78245541
14	0.41745161	0.64441288	0.7613894475	0.78245541
15	0.41745161	0.64441288	0.7645814514	0.78245541
16	0.41745161	0.64441288	0.7648997854	0.78245541
17	0.41745161	0.64441288	0.765001815	0.78245541
18	0.41745161	0.64441288	0.7645814514	0.78245541
19	0.41745161	0.64441288	0.7648997854	0.78245541
20	0.41745161	0.64441288	0.765001815	0.78245541
