epochs	RijksNet_softmax 	RijksNet_full_tuning	ImageNet_softmax	ImageNet_full_tuning
0	0.75295608	0.75295608	0.70650338	0.70650338
1	0.75895608	0.84881757	0.71150338	0.79518581
2	0.76182432	0.86528716	0.71283784	0.83150338
3	0.79138514	0.87668919	0.72143581	0.84712838
4	0.80787162	0.894151841	0.72994145	0.85430743
5	0.81209459	0.90101514	0.73481419	0.85726351
6	0.819487451	0.9022515146	0.73841584	0.86148649
7	0.8201485614	0.9145115241	0.73841584	0.86402027
8	0.829811515	0.9188417884	0.73841584	0.86908784
9	0.834874411	0.9204878117	0.73841584	0.87613176
10	0.838995111	0.9289448152	0.73841584	0.87908784
11	0.8400110494	0.9301114485	0.73841584	0.87295101
12	0.8400110494	0.9301114485	0.73841584	0.874891515
13	0.8400110494	0.9301114485	0.73841584	0.880149554
14	0.8400110494	0.9301114485	0.73841584	0.882548415
15	0.8400110494	0.9301114485	0.73841584	0.886781151
16	0.8400110494	0.9301114485	0.73841584	0.886781151
17	0.8400110494	0.9301114485	0.73841584	0.882548415
18	0.8400110494	0.9301114485	0.73841584	0.886781151
19	0.8400110494	0.9301114485	0.73841584	0.886781151
20	0.8400110494	0.9301114485	0.73841584	0.886781151
